05-05-2022 19:57:51.733 [main] INFO  c.e.p.PlacementmanagerApplicationTests.logStarting - Starting PlacementmanagerApplicationTests using Java 11.0.11 on karthikhegde05-Vostro-3478 with PID 24431 (started by karthikhegde05 in /home/karthikhegde05/Videos/SPE_majorProject/backend/placementmanager)
05-05-2022 19:57:51.734 [main] INFO  c.e.p.PlacementmanagerApplicationTests.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
05-05-2022 19:58:13.043 [main] INFO  c.e.p.PlacementmanagerApplicationTests.logStarted - Started PlacementmanagerApplicationTests in 21.848 seconds (JVM running for 23.483)
05-05-2022 19:58:15.098 [main] INFO  c.e.placementmanager.ControllerTest.logStarting - Starting ControllerTest using Java 11.0.11 on karthikhegde05-Vostro-3478 with PID 24431 (started by karthikhegde05 in /home/karthikhegde05/Videos/SPE_majorProject/backend/placementmanager)
05-05-2022 19:58:15.099 [main] INFO  c.e.placementmanager.ControllerTest.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
05-05-2022 19:58:16.338 [main] INFO  c.e.placementmanager.ControllerTest.logStarted - Started ControllerTest in 1.301 seconds (JVM running for 26.779)
05-05-2022 19:58:39.896 [main] INFO  c.e.p.PlacementmanagerApplication.logStarting - Starting PlacementmanagerApplication v0.0.1-SNAPSHOT using Java 11.0.11 on karthikhegde05-Vostro-3478 with PID 24699 (/home/karthikhegde05/Videos/SPE_majorProject/backend/placementmanager/target/placementmanager-0.0.1-SNAPSHOT.jar started by karthikhegde05 in /home/karthikhegde05/Videos/SPE_majorProject/backend/placementmanager)
05-05-2022 19:58:39.908 [main] INFO  c.e.p.PlacementmanagerApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
05-05-2022 19:59:13.940 [main] INFO  c.e.p.PlacementmanagerApplication.logStarted - Started PlacementmanagerApplication in 34.789 seconds (JVM running for 36.015)
05-05-2022 20:02:57.938 [main] INFO  c.e.p.PlacementmanagerApplicationTests.logStarting - Starting PlacementmanagerApplicationTests using Java 11.0.11 on karthikhegde05-Vostro-3478 with PID 25373 (started by karthikhegde05 in /home/karthikhegde05/Videos/SPE_majorProject/backend/placementmanager)
05-05-2022 20:02:57.941 [main] INFO  c.e.p.PlacementmanagerApplicationTests.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
05-05-2022 20:03:17.451 [main] INFO  c.e.p.PlacementmanagerApplicationTests.logStarted - Started PlacementmanagerApplicationTests in 20.047 seconds (JVM running for 22.539)
05-05-2022 20:03:19.134 [main] INFO  c.e.placementmanager.ControllerTest.logStarting - Starting ControllerTest using Java 11.0.11 on karthikhegde05-Vostro-3478 with PID 25373 (started by karthikhegde05 in /home/karthikhegde05/Videos/SPE_majorProject/backend/placementmanager)
05-05-2022 20:03:19.135 [main] INFO  c.e.placementmanager.ControllerTest.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
